start	end	text
51	3373	O fim de semana chegou com um novo golpe na praça, escuta-se aqui.
3433	16039	O de vocês que nós começamos a nossa campanha de arrecadação para que possam fazer a nossa campanha, a presidência da República, o site é o site
16740	17561	Não, vai divulgar, não.
18161	21765	Isso aqui é literalmente apostar na burrícia dos bolsonaristas.
21825	34897	Ele tem o maior fundo partidário, quase 900 milhões de reais, mais que o partido do presidente da República, mais 61 milhões do Banco Master, tudo documentado com um comprovante de transferência.
34977	35738	Mais 1 milhão.
36078	47061	e quinhentos mil reais em notas emitidas para empresas do mercado, mais meio milhão para prestar assessoria jurídica, mais dois milhões e trezentos mil reais com imóveis e uma loja de chocolate.
47101	49661	Mais seis milhões, como advogado.
49781	54182	E ainda pediu para que divulgassem a vaquinha dele na internet.
54262	61304	Tudo mais tigadinho para que você possa compartilhar nas sonhos sociais, os ataques são feitos contra a loja da direita, contra a minha...
62016	77487	própria candidatura, porque é bater o de verdade, desespero do lado do lado do lado do lado a gente, mas ir um mês apanhando incessantemente todos os dias, 24 horas por dia, e temos aí firmes e fortes, no mínimo empatados.
77567	83270	Nas pesquisas oficiais Atlas Bloomberg 44% para o Lula contra 35 do Flávio.
83310	86591	Datafolha 40% para o Lula contra 32 do Flávio.
86791	87812	Nexus BTG 42 a 33.
87872	89213	Real time big data 40 a 33.
89293	90133	Quest 40 a 28.
90153	91074	Indexa pesquisas 41 a 33.
91114	91954	Alpha TMC 43 a 29.
92034	92974	Vox Brasil 40 a 31.
93135	94315	Poder data 41 a 35.
106761	110284	no mínimo empatados nas pesquisas oficiais.
110444	119871	No mesmo dia que ele mente dizendo que está empatado nas pesquisas, vai no evento e fala que não entende porque mulher não vota nele, escuta.
119911	126095	Não dá pra compreender como é que as pesquisas mostram, por exemplo, que as mulheres estão votando mais lá do que aqui.
126115	134221	As faltas das mulheres, santo, são as faltas que nós defendemos e a briga deixeira direita, isso não parece que aqui defende as mulheres, está defendendo a pouca eada não.
135689	137493	pergunta para uma mãe se ela tem um fundo de trocada.
138976	141321	É direito a esquerda e a contra as drogas.
142023	144127	A esquerda faz programas de interação de drogas.
144828	150751	Ou seja, 80 milhões de mulheres com títulos de eleitor tão erradas, e ele está certo.
151371	170979	Só para não deixar passar batido nenhuma mentira, a maior operação da história da Polícia Federal contra facções aconteceu no atual governo, a operação carbono oculto, mais de um bilhão de reais bloqueados, carros e móveis, armas aprendidas, além de mais de mil postos como estíveis fechados.
171059	172460	Enquanto o clave,
172640	177988	Seguirá um mês projeto de lei que as fixe a lavagem de dinheiro no setor de combustíveis.
178128	187462	Esse vídeo é foda, cara deputados bolsonaristas dizem que Flávio pegou dinheiro do sistema do Banco Master para usar contra o sistema.
187462	188023	A bolha é bolsolarista.
188043	188523	A bolha é bolsolarista.
188584	189465	Relativista é qualquer coisa do Flávio.
189485	189565	Não.
189585	190126	E está tudo certo.
190146	190486	Não é bolha.
190506	190887	É a bolha.
190907	191187	É a bolha.
191207	191628	Fala com a bolha.
191648	192148	A bolha é relativista.
192169	192749	A bolha é relativista.
192769	193270	A bolha é relativista.
193290	193851	A bolha é relativista.
193911	194432	A bolha é relativista.
194452	195333	A bolha é relativista.
195353	195874	A bolha é relativista.
195894	196434	A bolha é relativista.
196454	196895	A bolha é relativista.
196915	197496	A bolha é relativista.
197576	198057	A bolha é relativista.
198077	198517	A bolha é relativista.
198537	198998	A bolha é relativista.
199018	199739	A bolha é relativista.
199759	200520	A bolha é relativista.
200540	200981	A bolha é relativista.
201001	201702	A bolha é relativista.
201722	202323	A bolha é relativista.
202343	202823	A bolha é relativista.
202843	203424	A bolha é relativista.
203444	204025	A bolha é relativista.
204045	204826	A bolha é relativista.
204906	205907	Por quê?
206027	206968	Por que ele quis fazer um filme?
207088	208349	Alguém é isso.
208529	210010	Ele ia financiar esse filme?
210570	211171	Alguém fez isso?
211771	212512	Ah, não, faça.
212712	214493	Não faz guerra cultural, deixa a esquerda dominar a foto.
214533	215754	Ah, ia foda.
216035	216955	Pode falar uma coisa.
216975	218036	Pode ir para um criminoso.
218076	219978	Ele não sabia que o vorkar era criminoso.
219998	220958	O pai dele sabia, desde 2000 tanto.
220978	221539	O pai dele sabia.
221559	222279	O pai dele sabia.
222299	223000	O pai dele sabia.
223020	224161	O pai dele sabia.
224501	225202	O pai dele sabia.
225322	226242	O pai dele sabia.
226262	226703	O pai dele sabia.
226763	227403	O pai dele sabia.
227423	228204	O pai dele sabia.
228324	229005	O pai dele sabia.
229745	230706	Mas ele não sabe o que ele tava levando.
230746	231687	Mas ele não sabe o que ele tava levando.
231707	232708	Mas ele não sabe o que ele tava levando.
232728	234409	Mas ele não sabe o que ele tava levando.
234429	235270	Mas ele não sabe o que ele tava levando.
235290	236171	Mas ele não sabe o que ele tava levando.
236211	237312	Mas ele não sabe o que ele tava levando.
237332	238212	Mas ele não sabe o que ele tava levando.
238232	239073	Mas ele não sabe o que ele tava levando.
239113	240014	Mas ele não sabe o que ele tava levando.
240034	241055	Mas ele não sabe o que ele tava levando.
241075	242276	Mas ele não sabe o que ele tava levando.
242296	244037	Mas ele não sabe o que ele tava levando.
244057	245699	Mas ele não sabe o que ele tava levando.
245719	246679	Mas ele não sabe o que ele tava levando.
246699	247880	Mas ele não sabe o que ele tava levando.
247900	249402	Mas ele não sabe o que ele tava levando.
249422	250803	Mas ele não sabe o que ele tava levando.
250823	251684	Mas ele não sabe o que ele tava levando.
251704	252604	Mas ele não sabe o que ele tava levando.
252624	253325	Mas ele não sabe
253523	260331	O que o Flávio fez foi desafiar o sistema para conseguir algo que tinha capacidade de alterar.
260531	262293	O resultado era extremamente heroico.
262514	263194	Qual é o problema de...
263214	264196	Ele está roubando alguém a partir.
264336	264956	Ele está roubando...
264977	265537	Ele não tem alguma coisa.
265557	266178	Ele tem alguma coisa.
266258	267179	Ele tem alguma coisa.
267199	267740	Ele tem alguma coisa.
267760	268641	Ele tem alguma coisa.
268701	269342	Ele tem alguma coisa.
269362	269822	Ele tem alguma coisa.
269842	270343	Ele tem alguma coisa.
270363	270923	Ele tem alguma coisa.
272174	273496	o golpe de humor.
274337	282027	Cara, na minha opinião, no final das contas, a candidatura do Flávio é uma das melhores coisas que aconteceu em muito tempo.
282167	287895	Além de ser literalmente o diversário mais fácil da vida do Lula, ele está fazendo a direita demonstrar
288215	290576	que nunca ligou pra essa história de combate à corrupção.
290656	292256	Tem mais notícias aí do Flavio.
292496	296738	Federação do PP União diz mais um mão ao PL de Flavio Bolsonaro.
296758	301739	Progresistas Veta Teresa Cristina, como vice de Flavio, mantém neutralidade na disputa eleitoral.
301879	306761	Veta do PP amplia revés de Flavio na busca por vice, consolida a fastamento do Centrão.
306861	308821	Mais uma arqueteira abandonou a campanha dele.
309221	311442	Vai pro terceiro, só nesse ano.
311602	320486	O segundo em pouco mais de um mês, o que me fez lembrar time de futebol quando está na zona de rebaixamento, cada vez mais perto do rebaixamento, fica trocando de técnico.
320526	322927	Flávio, não estava preparado para ser candidato.
322947	330150	E ele não tinha feito uma estrutura, não tinha feito um trabalho antes para ser candidato à presidência da República.
330210	339454	Que mais você precisa saber hoje, após polêmica, em 2022, ACM Neto se declara como branco em registro de candidatura ao TSE.
340314	345897	Era branco, ficou negro, era negro, ficou branco, deve ser a mística do X-Men.
345997	362044	O Eduardo juntou toda a inteligência que ele tinha e falou que a China está atacando a soberania nacional do Brasil, porque comprou uns mil toneladas de açaí e eu queria mostrar como funciona uma chão na internet na vida real.
362625	367467	Em dois momentos, primeiro ele falando que o Morais mexeu com um homem de verdade, se ferrou,
368503	370464	Pouco tempo depois ontem saiu esse vídeo.
370484	372045	Eu não consigo imaginar ficar tanto tempo assim.
392695	399120	Por falar em marchão de internet, a Julha Zanata meteu louco e disse que vai atrás dos conselheiros tutelais.
402374	405936	Tudo que te contaram sobre a pandemia era mentira, praticamente.
406156	406896	Ah, é mentira.
406916	410098	A pandemia acabou depois que todo mundo tomou o cloro aqui, não.
410278	412419	Uma acabou depois que todo mundo tomou vacina, não.
412959	414040	É, a gente que tá aí.
414100	415880	Era da cabeça do faute, enfim.
416601	418001	E eu vou falar uma coisa pra vocês.
418482	430888	Todos envolvidos em obrigar bebês e crianças a tomarem a vacina da covid deveriam ser julgados e alguns desses.
431968	432428	sabe por quê?
433989	445917	Em por multa perseguição, sofrimento a essas famílias, como estão fazendo aqui em Santa Catarina, com celeiros tutelares, ministério público e até a justiça.
446698	456584	E aqueles que fizeram a nota técnica no governo federal e fizeram a nota técnica já para tirar sua responsabilidade.
456958	461781	Pode ter certeza que nós iremos atrás de você, de vocês.
463061	466903	Mais uma vez, testando os limites da justiça.
466963	472566	Hoje a poledição Paulo fez uma descoberta inacreditável, chance de quem nasce rico.
472827	474327	Ficar no topo.
474387	476809	É 7 vezes a do pobre de enriquecer.
476829	479990	E eu nem vou falar nada, pausa, dá uma lida nessa notícia.
480030	483452	Bom, no Dava compra roubou pra trabalhar na escala 7 por 0.
483492	486554	Dice que vai ser sem fororou, que é...
486634	489295	realizar o sonho da maior parte dos grandes empresários.
489655	493357	Arromontrabalhador, que não recebe salário, nem tem folga.
493457	500259	Lulinha terá de provar essa inocente e não usarei o cargo para protegê-lo, deslula sobre inquérito da Polícia Federal.
500939	503620	Uma postura completamente diferente dessa aí.
503720	507602	Mas é a puta ali o tempo todo, para me atingir, mexendo com a minha família.
509423	513824	Já tentei trocar a gente da segurança nossa no janeiro oficialmente, e não consegui.
515065	516085	Isso acabou.
517880	532526	Eu não vou esperar foder a minha família, toda de sacanagem, ou amigos, meu, porque eu não posso trocar alguém da segurança na ponta da linha que pertença a estrutura, você vai trocar, você não pode trocar, troca o chefe dele, pode trocar o chefe dele, troca o ministro.
534327	537668	E, ponto final, não estamos aqui para brincadeira.
538228	548013	Uma das melhores notícias da semana, a Anelisa consolidou a candidatura e, certamente, vai se tornar deputada federal pelo BT, com total apoio desse canal.
548033	559960	Para fechar a Lula, foi na inteligência limitada, um podcast, bateu 730 mil visualizações num único dia, superando a audiência somada em dois meses de flávio no mesmo programa.
560040	562042	Agora eu vou deixar os seis pontos melhores trechos.
562602	566106	Lembrando que dá um like de vulga tudo que você viu até aqui.
566646	570990	E cada clique ou briga o YouTube a mostrar esse vídeo para pelo menos cinco pessoas.
576415	580319	Com torcida, que você não sabe se dói, como é bom ser Corinthians?
580660	582562	Qual time que cresce quando time está mal?
582582	583062	É isso?
583122	586466	Quando o pior é o time, cara, eu vivi em 23 anos, eu não sei o Corinthians, né?
586546	593873	Eu não lembro quando caiu o tabu, eu em cima do chevete, beige, como tinha umaquela cola principal do Cente Sombernardo, em cima do capô do meu pai, a gente conheceu.
593913	594854	Pareci, eu dou, eu dou.
596095	602779	A bandeira, eu tinha um quadro, no meu quarto, que era um ovo, uma criança com o uniforme do... Graças a Deus, nasci com o índio.
602839	606841	E os novecentos de setenta e sete, com o da ponte preta.
606961	607601	O que você tava lá?
607641	608301	Tava no morver.
608501	610763	Nossa, deve ter sido aquele...
610783	612904	É um negócio, mas se eu perdi... E aí, o preço que eu lento mais...
612964	613604	Eu perdi a minha mãe.
613624	614264	Eu perdi a minha mãe.
614284	616025	Eu perdi a minha mãe.
616065	617026	Eu perdi a minha mãe.
617046	617866	Eu perdi a minha mãe.
617886	618546	Eu perdi a minha mãe.
618587	619247	Eu perdi a minha mãe.
619307	620287	Eu perdi a minha mãe.
620387	620968	Eu perdi a minha mãe.
622648	629252	Quando eu cheguei o jogo que tinha começado, tal de medo da portugueira do Defranço, na sua feita, aquele jogo.
629372	629832	Arrebentou.
629992	631613	Mas com três gols por índipó.
631894	634815	É, o juvento, todo mundo fez ouvir a jogar com outro corito, né?
635095	636156	Mas você jogava com tebol também, não?
636276	636596	Jogava?
636636	636936	Era bom.
637017	637997	Eu quadro e fui bom de bola.
638137	638417	Quase.
638557	638998	Quase.
639118	639678	Se fosse.
639878	642219	Se fosse, o jogo... Se fosse bom, teria outro escória.
642260	643120	Não fui.
643340	643841	E jogava de quê?
643861	647427	Mas eu contava que a minha direita era bom, era técnico.
647587	649631	Eu era um dos caras escurido para tirar pelo rio.
649711	651554	Era um dos primeiros, não era aquele último que tudo falava.
